"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U2";"UFQFPN48";1;"stm32";;;
2;"U3";"SOT-23-5";1;"MIC5219-3.3";;;
3;"C10,C9";"C_0603";2;"22nF";;;
4;"X1";"Crystal_HC49-4H_Vertical";1;"8MHz";;;
5;"C12,C1,C4,C5,C6,C8";"C_0603";6;"100nF";;;
6;"C2,C3";"C_0603";2;"20pF";;;
7;"C11";"C_0603";1;"10uF";;;
8;"Q1";"SOT-23";1;"MMBT3904";;;
9;"R1,R7,R10";"R_0603";3;"100K";;;
10;"R2,R3,R6";"R_0603";3;"4K7";;;
11;"R4,R5";"R_0603";2;"20";;;
12;"R8,R15";"R_0603";2;"10K";;;
13;"R9";"R_0603";1;"36K";;;
14;"R11,R14";"R_0603";2;"100";;;
15;"R19";"R_0603";1;"680";;;
16;"R20,R21";"R_0603";2;"47";;;
17;"U1";"SOT-23-6";1;"USBLC6-2SC6";;;
18;"D1,D2,D3";"LED_0805";3;"LED";;;
19;"R12,R13,R16";"R_0603";3;"510";;;
20;"R17,R18";"R_0603";2;"220";;;
21;"J2";"Socket_Strip_Straight_1x06_Pitch2.54mm";1;"Conn_01x06";;;
22;"J3,J4";"METAL_PAD";2;"Conn_01x08";;;
23;"C7";"C_0603";1;"1uF";;;
24;"J1";"USB_Micro-B_Molex-105017-0001";1;"USB_OTG";;;
